"PID", "Creator", "Object title", "Type", "Format", "Licence/Copyright", "when", "notBefore", "notAfter", "OCM", "Internal keywords", "Image number", "Image 1", "Image 2", "Image 3", "Image 4", "Image 5", "Image 6", "Image 7", "Image 8", "Image 9", "Image 10", "Image 11", "Image 12", "Image 13", "Image 14", "Image 15", "Image 16", "Image 17", "Image 18", "Image 19" 
"o:vase.1087"," Jovanović, Milan "," Portrait of Zorka Vlajić ","Photograph","Cabinet","Creative Commons [CC BY-NC-ND 3.0]"," "," 1896 "," 1903 "," 290; 300; 462; 460; 551; 550; 554; 560; 741; 740; 748; 890 ","  "," 2 "," vase.1087-IMAGE.1.jpg "," vase.1087-IMAGE.2.jpg ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  " 
"o:vase.1088"," Jovanović, Milan "," Girl in Hungarian national dress ","Photograph","Elisabeth","Creative Commons [CC BY-NC-ND 3.0]"," "," "," 1905 "," 292; 290; 300; 850 ","  "," 2 "," vase.1088-IMAGE.1.jpg "," vase.1088-IMAGE.2.jpg ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  " 
"o:vase.1089"," Jovanović, Milan "," Vladislav Vladisavljević and two smaller children ","Photograph","Boudoir","Creative Commons [CC BY-NC-ND 3.0]"," 1907 "," "," "," 290; 341; 340; 551; 550; 554; 590; 850 ","  "," 2 "," vase.1089-IMAGE.1.jpg "," vase.1089-IMAGE.2.jpg ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  " 
"o:vase.109"," Karastoyanov, Bozhidar Dimitrov "," Military manoeuvre ","Photograph","Not specified","Creative Commons [CC BY-NC-ND 3.0]"," "," 1940 "," 1941 "," 700; 710; 720 ","  "," 2 "," vase.109-IMAGE.1.jpg "," vase.109-IMAGE.2.jpg ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  " 
"o:vase.1090"," Jovanović, Milan "," Studio portrait of Božidar Boco Vlajić ","Photograph","Cabinet","Creative Commons [CC BY-NC-ND 3.0]"," "," 1900 "," 1902 "," 290; 300; 551; 550; 554; 650; 660; 890 ","  "," 2 "," vase.1090-IMAGE.1.jpg "," vase.1090-IMAGE.2.jpg ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  " 
"o:vase.1091"," Jovanović, Milan "," Studio portrait of Artillery Lieutenant Milan A. Jovičić ","Photograph","Promenade","Creative Commons [CC BY-NC-ND 3.0]"," 1909.12.03 "," "," "," 292; 290; 431; 430; 551; 550; 554; 560; 571; 570; 576; 700; 714; 710; 890 ","  "," 2 "," vase.1091-IMAGE.1.jpg "," vase.1091-IMAGE.2.jpg ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  " 
"o:vase.1092"," Jovanović, Milan "," Studio portrait of Zora Horstig ","Photograph","Promenade","Creative Commons [CC BY-NC-ND 3.0]"," "," 1900 "," 1902 "," 292; 290; 294; 300; 453; 450; 462; 460; 470; 551; 550; 554; 560; 640; 660; 700; 741; 740; 890 ","  "," 2 "," vase.1092-IMAGE.1.jpg "," vase.1092-IMAGE.2.jpg ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  " 
"o:vase.1093"," Jovanović, Milan "," Group portrait of Professor Milenko Vesnić, Professor Slobodan Jovanović and another man ","Photograph","Boudoir","Creative Commons [CC BY-NC-ND 3.0]"," "," 1900 "," 1902 "," 212; 210; 214; 290; 462; 460; 551; 550; 554; 560; 570; 640; 650; 660; 670; 690; 810; 870; 890 ","  "," 2 "," vase.1093-IMAGE.1.jpg "," vase.1093-IMAGE.2.jpg ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  " 
"o:vase.1094"," Jovanović, Milan "," Studio portrait of a baby in an oval frame ","Photograph","Cabinet","Creative Commons [CC BY-NC-ND 3.0]"," "," 1900 "," 1902 "," 290; 850 ","  "," 2 "," vase.1094-IMAGE.1.jpg "," vase.1094-IMAGE.2.jpg ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  " 
"o:vase.1095"," Jovanović, Milan "," Studio portrait of Aunt Juca ","Photograph","Promenade","Creative Commons [CC BY-NC-ND 3.0]"," "," 1887 "," 1890 "," 290; 300; 551; 550; 590; 601; 600; 602 ","  "," 2 "," vase.1095-IMAGE.1.jpg "," vase.1095-IMAGE.2.jpg ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  " 
