"PID", "Creator", "Object title", "Type", "Format", "Licence/Copyright", "when", "notBefore", "notAfter", "OCM", "Internal keywords", "Image number", "Image 1", "Image 2", "Image 3", "Image 4", "Image 5", "Image 6", "Image 7", "Image 8", "Image 9", "Image 10", "Image 11", "Image 12", "Image 13", "Image 14", "Image 15", "Image 16", "Image 17", "Image 18" 
"o:vismig.m.2019.3","Ritopečki, Jovan"," Portrait of two nurses "," Photographic negative ","  ",NL Jovan Ritopečki"," 1972 "," "," ","  "," S002; S009; S039 "," 5 "," 2019_img22.jpg "," 2019_img23.jpg "," 2019_img24.jpg "," 2019_img25.jpg "," 2019_img27.jpg "," "," "," "," "," "," "," "," "," "," "," "," "," " 
"o:vismig.m.2019.4","Ritopečki, Jovan"," Portrait of a nurse "," Photographic negative ","  ",NL Jovan Ritopečki"," 1972 "," "," ","  "," S002; S009; S039 "," 4 "," 2019_img26.jpg "," 2019_img28.jpg "," 2019_img29.jpg "," 2019_img30.jpg "," "," "," "," "," "," "," "," "," "," "," "," "," "," " 
"o:vismig.m.2020.1","Ritopečki, Jovan"," Woman checking her mailbox "," Photographic negative ","  ",NL Jovan Ritopečki"," 1972 "," "," ","  "," S009; S025; S033; S037 "," 1 "," 2020_img31.jpg "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," " 
"o:vismig.m.2020.2","Ritopečki, Jovan"," Two women drinking coffee and reading newspaper at home "," Photographic negative ","  ",NL Jovan Ritopečki"," 1972 "," "," ","  "," S009; S025; S033; S037 "," 4 "," 2020_img32.jpg "," 2020_img33.jpg "," 2020_img34.jpg "," 2020_img35.jpg "," "," "," "," "," "," "," "," "," "," "," "," "," "," " 
"o:vismig.m.2020.3","Ritopečki, Jovan"," Two women with newspaper on a bed "," Photographic negative ","  ",NL Jovan Ritopečki"," 1972 "," "," ","  "," S009; S025; S033; S037 "," 3 "," 2020_img36.jpg "," 2020_img37.jpg "," 2020_img38.jpg "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," " 
"o:vismig.m.2020.4","Ritopečki, Jovan"," Woman watering flowers "," Photographic negative ","  ",NL Jovan Ritopečki"," 1972 "," "," ","  "," S009; S025; S033; S037 "," 2 "," 2020_img39.jpg "," 2020_img40.jpg "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," " 
"o:vismig.m.2021.1","Ritopečki, Jovan"," Young woman in front of administrative office "," Photographic negative ","  ",NL Jovan Ritopečki"," 1972 "," "," ","  "," S003; S004; S009 "," 3 "," 2021_img31.jpg "," 2021_img32.jpg "," 2021_img33.jpg "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," " 
"o:vismig.m.2021.2","Ritopečki, Jovan"," Young couple (with a small child) in counceling office "," Photographic negative ","  ",NL Jovan Ritopečki"," 1972 "," "," ","  "," S003; S004; S007; S014 "," 3 "," 2021_img34.jpg "," 2021_img35.jpg "," 2021_img36.jpg "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," " 
"o:vismig.m.2022.1","Ritopečki, Jovan"," Girl with dolls "," Photographic negative ","  ",NL Jovan Ritopečki"," 1972 "," "," ","  "," S013; S014 "," 3 "," 2022_img1.jpg "," 2022_img2.jpg "," 2022_img4.jpg "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," " 
"o:vismig.m.2022.2","Ritopečki, Jovan"," Children in shop "," Photographic negative ","  ",NL Jovan Ritopečki"," 1972 "," "," ","  "," S013; S014 "," 1 "," 2022_img3.jpg "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," " 
"o:vismig.m.2022.3","Ritopečki, Jovan"," Children in front of window display "," Photographic negative ","  ",NL Jovan Ritopečki"," 1972 "," "," ","  "," S013; S014; S021 "," 4 "," 2022_img5.jpg "," 2022_img6.jpg "," 2022_img7.jpg "," 2022_img8.jpg "," "," "," "," "," "," "," "," "," "," "," "," "," "," " 
"o:vismig.m.2022.4","Ritopečki, Jovan"," Girl in front of window display "," Photographic negative ","  ",NL Jovan Ritopečki"," 1972 "," "," ","  "," S013; S014; S021 "," 6 "," 2022_img9.jpg "," 2022_img10.jpg "," 2022_img11.jpg "," 2022_img12.jpg "," 2022_img13.jpg "," 2022_img14.jpg "," "," "," "," "," "," "," "," "," "," "," "," " 
"o:vismig.m.2023.1","Ritopečki, Jovan"," Administrative work "," Photographic negative ","  ",NL Jovan Ritopečki"," 1972 "," "," ","  "," S003; S009 "," 7 "," 2023_img16.jpg "," 2023_img17.jpg "," 2023_img18.jpg "," 2023_img19.jpg "," 2023_img20.jpg "," 2023_img21.jpg "," 2023_img22.jpg "," "," "," "," "," "," "," "," "," "," "," " 
"o:vismig.m.2023.2","Ritopečki, Jovan"," Portrait of a young woman "," Photographic negative ","  ",NL Jovan Ritopečki"," 1972 "," "," ","  "," S009 "," 3 "," 2023_img23.jpg "," 2023_img24.jpg "," 2023_img25.jpg "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," " 
"o:vismig.m.2024.1","Ritopečki, Jovan"," Man cooking food "," Photographic negative ","  ",NL Jovan Ritopečki"," 1972 "," "," ","  "," S002; S018 "," 3 "," 2024_img1.jpg "," 2024_img2.jpg "," 2024_img3.jpg "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," " 
"o:vismig.m.2024.2","Ritopečki, Jovan"," Woman canning food "," Photographic negative ","  ",NL Jovan Ritopečki"," 1972 "," "," ","  "," S002; S009 "," 4 "," 2024_img4.jpg "," 2024_img5.jpg "," 2024_img6.jpg "," 2024_img7.jpg "," "," "," "," "," "," "," "," "," "," "," "," "," "," " 
"o:vismig.m.2024.3","Ritopečki, Jovan"," Man cutting meat "," Photographic negative ","  ",NL Jovan Ritopečki"," 1972 "," "," ","  "," S002; S018 "," 4 "," 2024_img8.jpg "," 2024_img9.jpg "," 2024_img10.jpg "," 2024_img11.jpg "," "," "," "," "," "," "," "," "," "," "," "," "," "," " 
"o:vismig.m.2024.4","Ritopečki, Jovan"," Woman putting meat in cans "," Photographic negative ","  ",NL Jovan Ritopečki"," 1972 "," "," ","  "," S002; S009 "," 2 "," 2024_img12.jpg "," 2024_img13.jpg "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," " 
"o:vismig.m.2024.5","Ritopečki, Jovan"," Women working in food factory "," Photographic negative ","  ",NL Jovan Ritopečki"," 1972 "," "," ","  "," S002; S009 "," 2 "," 2024_img14.jpg "," 2024_img15.jpg "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," " 
"o:vismig.m.2024.6","Ritopečki, Jovan"," Woman with can aparat "," Photographic negative ","  ",NL Jovan Ritopečki"," 1972 "," "," ","  "," S002; S009 "," 3 "," 2024_img16.jpg "," 2024_img17.jpg "," 2024_img18.jpg "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," " 
"o:vismig.m.2024.7","Ritopečki, Jovan"," Woman preparing cans "," Photographic negative ","  ",NL Jovan Ritopečki"," 1972 "," "," ","  "," S002; S009 "," 3 "," 2024_img19.jpg "," 2024_img20.jpg "," 2024_img21.jpg "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," " 
"o:vismig.m.2024.8","Ritopečki, Jovan"," Woman measuring salt? "," Photographic negative ","  ",NL Jovan Ritopečki"," 1972 "," "," ","  "," S002; S009 "," 4 "," 2024_img22.jpg "," 2024_img23.jpg "," 2024_img24.jpg "," 2024_img25.jpg "," "," "," "," "," "," "," "," "," "," "," "," "," "," " 
